trust_code,region,trust_name,period,total_attendances,within_4hrs,pct_4hrs_total,pct_4 hrs_type1,total_emergency_dmissions,over_12hrs
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,2025-09,"24,693","16,693",67.6,49.6,"6,279","1,003"
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,2025-09,"13,674","10,260",75.0,64.3,"4,713",198
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,2025-09,"19,718","12,429",63.0,47.7,"3,612","1,160"
RLQ,NHS England Midlands ,Wye Valley NHS Trust,2025-09,"7,364","4,828",65.6,58.3,"1,590",274
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,2025-09,"6,726","4,390",65.3,63.8,"2,094",154
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,2025-09,"9,065","6,739",74.3,74.3,"3,629",1
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,2025-09,"13,510","11,317",83.8,75.9,"3,957",76
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,2025-09,"3,484","3,169",91.0,,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,2025-09,"1,462","1,436",98.2,,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,2025-09,"16,024","13,710",85.6,85.6,"3,036",9
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,2025-09,"23,831","18,928",79.4,61.3,"4,969",42
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,2025-09,"17,953","12,536",69.8,60.8,"5,112",162
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,2025-09,"2,668","2,474",92.7,,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,2025-09,"9,740","7,537",77.4,61.6,"1,812",2
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,2025-09,"1,644","1,607",97.7,,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,2025-09,"6,638","5,143",77.5,73.2,"1,445",0
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,2025-09,"14,140","8,266",58.5,42.1,"6,114",600
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,2025-09,"1,158","1,149",99.2,,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,2025-09,"29,962","22,867",76.3,61.0,"4,822",552
ARN03,NHS England North East And Yorkshire ,Local Care Direct,2025-09,"2,317","2,308",99.6,,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,2025-09,"23,302","17,027",73.1,63.5,"4,632",76
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,2025-09,"10,890","6,827",62.7,54.4,"2,589",277
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,2025-09,"15,810","13,183",83.4,46.4,"4,382",26
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,2025-09,"16,846","11,971",71.1,48.5,"6,015",689
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,2025-09,"23,582","20,994",89.0,74.7,"4,645",0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,2025-09,"4,743","4,463",94.1,93.6,994,0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,2025-09,"18,911","13,704",72.5,48.6,"6,719",7
RTR,NHS England North East And Yorkshire ,South Tees Hospitals NHS Foundation Trust,2025-09,"18,348","14,055",76.6,46.6,"4,974",28
R0B,NHS England North East And Yorkshire ,South Tyneside And Sunderland NHS Foundation Trust,2025-09,"19,865","14,439",72.7,55.6,"5,873",3
RXG,NHS England North East And Yorkshire ,South West Yorkshire Partnership NHS Foundation Trust,2025-09,0,0,,,128,0
RTD,NHS England North East And Yorkshire ,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,2025-09,"21,820","16,578",76.0,59.6,"6,694",12
RFR,NHS England North East And Yorkshire ,The Rotherham NHS Foundation Trust,2025-09,"8,932","6,382",71.5,71.5,"2,227",1
AJN,NHS England North East And Yorkshire ,Workington Health Limited,2025-09,392,392,100.0,,0,0
RCB,NHS England North East And Yorkshire ,York And Scarborough Teaching Hospitals NHS Foundation Trust,2025-09,"19,051","12,896",67.7,47.8,"6,680",535
RBS,NHS England North West ,Alder Hey Children's NHS Foundation Trust,2025-09,"5,271","4,602",87.3,87.3,"1,090",0
RXL,NHS England North West ,Blackpool Teaching Hospitals NHS Foundation Trust,2025-09,"19,235","14,740",76.6,51.9,"4,081",415
RMC,NHS England North West ,Bolton NHS Foundation Trust,2025-09,"11,916","7,823",65.7,53.2,"3,674",213
RY2,NHS England North West ,Bridgewater Community Healthcare NHS Foundation Trust,2025-09,"2,925","2,871",98.2,,0,0
RJR,NHS England North West ,Countess Of Chester Hospital NHS Foundation Trust,2025-09,"7,756","4,823",62.2,48.5,"3,046",747
RJN,NHS England North West ,East Cheshire NHS Trust,2025-09,"4,599","2,099",45.6,44.8,956,385
RXR,NHS England North West ,East Lancashire Hospitals NHS Trust,2025-09,"24,194","19,226",79.5,67.0,"5,713",978
RXN,NHS England North West ,Lancashire Teaching Hospitals NHS Foundation Trust,2025-09,"15,455","10,675",69.1,62.1,"4,323",465
RBQ,NHS England North West ,Liverpool Heart And Chest Hospital NHS Foundation Trust,2025-09,0,0,,,134,0
REM,NHS England North West ,Liverpool University Hospitals NHS Foundation Trust,2025-09,"26,823","18,303",68.2,50.6,"7,236",887
REP,NHS England North West ,Liverpool Women's NHS Foundation Trust,2025-09,"1,461","1,366",93.5,,99,0
R0A,NHS England North West ,Manchester University NHS Foundation Trust,2025-09,"43,903","31,006",70.6,56.7,"6,461",105
RBN,NHS England North West ,Mersey And West Lancashire Teaching Hospitals NHS Trust,2025-09,"24,489","17,942",73.3,63.1,"8,457",367
RW4,NHS England North West ,Mersey Care NHS Foundation Trust,2025-09,"13,214","12,979",98.2,,47,0
RBT,NHS England North West ,Mid Cheshire Hospitals NHS Foundation Trust,2025-09,"9,939","6,044",60.8,43.2,"2,648",497
Y02532,NHS England North West ,Miriam Minor Emergency,2025-09,"1,605","1,605",100.0,,0,0
RM3,NHS England North West ,Northern Care Alliance NHS Foundation Trust,2025-09,"35,908","25,637",71.4,62.2,"10,165","1,095"
NV693,NHS England North West ,Rossendale Miu & Ooh,2025-09,"1,041","1,039",99.8,,0,0
NQT5F,NHS England North West ,Skelmersdale Walk In Centre,2025-09,"1,565","1,558",99.6,,0,0
RWJ,NHS England North West ,Stockport NHS Foundation Trust,2025-09,"10,710","7,293",68.1,59.4,"3,644",324
RMP,NHS England North West ,Tameside And Glossop Integrated Care NHS Foundation Trust,2025-09,"11,305","7,361",65.1,56.0,"1,830",650
RBV,NHS England North West ,The Christie NHS Foundation Trust,2025-09,0,0,,,864,0
RET,NHS England North West ,The Walton Centre NHS Foundation Trust,2025-09,0,0,,,182,0
RTX,NHS England North West ,University Hospitals Of Morecambe Bay NHS Foundation Trust,2025-09,"13,552","9,976",73.6,61.9,"4,015",591
RWW,NHS England North West ,Warrington And Halton Teaching Hospitals NHS Foundation Trust,2025-09,"10,080","6,535",64.8,50.3,"1,836",891
RY7,NHS England North West ,Wirral Community Health And Care NHS Foundation Trust,2025-09,"4,025","3,807",94.6,,0,0
RBL,NHS England North West ,Wirral University Teaching Hospital NHS Foundation Trust,2025-09,"10,956","6,259",57.1,42.7,"3,838",696
RRF,NHS England North West ,"Wrightington, Wigan And Leigh NHS Foundation Trust",2025-09,"12,330","9,202",74.6,58.2,"2,898",439
RTK,NHS England South East ,Ashford And St Peter's Hospitals NHS Foundation Trust,2025-09,"9,829","6,409",65.2,51.9,"3,511",299
NTV0B,NHS England South East ,Ashford Walk-In-Centre,2025-09,"2,374","2,340",98.6,,0,0
RWX,NHS England South East ,Berkshire Healthcare NHS Foundation Trust,2025-09,"1,480","1,470",99.3,,33,0
Y02676,NHS England South East ,Brighton Station Health Centre,2025-09,"1,825","1,825",100.0,,0,0
RXQ,NHS England South East ,Buckinghamshire Healthcare NHS Trust,2025-09,"14,984","10,807",72.1,62.0,"6,208",337
RN7,NHS England South East ,Dartford And Gravesham NHS Trust,2025-09,"14,983","12,476",83.3,77.7,"3,848",129
Y00751,NHS England South East ,East Berks Primary Care Ooh(Wam),2025-09,0,0,,,0,0
RVV,NHS England South East ,East Kent Hospitals University NHS Foundation Trust,2025-09,"25,128","18,901",75.2,52.2,"4,008","1,172"
RXC,NHS England South East ,East Sussex Healthcare NHS Trust,2025-09,"15,068","11,760",78.0,70.2,"3,113",19
AQM01,NHS England South East ,Faversham Medical Practice Miu,2025-09,"2,934","2,934",100.0,,0,0
NDJ,NHS England South East ,First Community Health And Care Cic,2025-09,"2,403","2,389",99.4,,0,0
RDU,NHS England South East ,Frimley Health NHS Foundation Trust,2025-09,"35,876","26,222",73.1,58.7,"6,684",325
RW1,NHS England South East ,Hampshire And Isle Of Wight Healthcare NHS Foundation Trust,2025-09,"2,793","2,729",97.7,,124,0
RN5,NHS England South East ,Hampshire Hospitals NHS Foundation Trust,2025-09,"14,408","9,707",67.4,57.9,"4,729",17
DJV01,NHS England South East ,Herne Bay Health Care Ltd,2025-09,"2,454","2,454",100.0,,0,0
R1F,NHS England South East ,Isle Of Wight NHS Trust,2025-09,"6,275","4,921",78.4,69.7,"1,464",86
RYY,NHS England South East ,Kent Community Health NHS Foundation Trust,2025-09,"6,480","6,458",99.7,,0,0
RWF,NHS England South East ,Maidstone And Tunbridge Wells NHS Trust,2025-09,"23,227","18,901",81.4,79.7,"5,355",96
RPA,NHS England South East ,Medway NHS Foundation Trust,2025-09,"17,147","12,983",75.7,66.6,"2,302",630
RNU,NHS England South East ,Oxford Health NHS Foundation Trust,2025-09,"4,426","4,181",94.5,,0,0
RTH,NHS England South East ,Oxford University Hospitals NHS Foundation Trust,2025-09,"19,086","15,005",78.6,71.1,"9,774",3
AQN04,NHS England South East ,Phl Lymington Utc,2025-09,"2,999","2,984",99.5,,0,0
RHU,NHS England South East ,Portsmouth Hospitals University NHS Trust,2025-09,"17,460","12,674",72.6,62.6,"5,722","1,170"
NTP11,NHS England South East ,Practice Plus Group Hospital - Southampton,2025-09,"4,769","4,662",97.8,,0,0
NTPAD,NHS England South East ,Practice Plus Group Surgical Centre - St Marys Portsmouth,2025-09,"5,378","4,983",92.7,,0,0
RPC,NHS England South East ,Queen Victoria Hospital NHS Foundation Trust,2025-09,"1,342","1,317",98.1,,575,0
RHW,NHS England South East ,Royal Berkshire NHS Foundation Trust,2025-09,"17,467","13,082",74.9,64.2,"2,690",12
RA2,NHS England South East ,Royal Surrey NHS Foundation Trust,2025-09,"9,408","6,811",72.4,65.7,"3,446",7
NQT51,NHS England South East ,Station Plaza Health Centre,2025-09,856,856,100.0,,0,0
RTP,NHS England South East ,Surrey And Sussex Healthcare NHS Trust,2025-09,"10,355","6,439",62.2,62.2,"4,000",441
RDR,NHS England South East ,Sussex Community NHS Foundation Trust,2025-09,"11,738","11,607",98.9,,0,0
RHM,NHS England South East ,University Hospital Southampton NHS Foundation Trust,2025-09,"13,014","8,800",67.6,64.9,"5,356",13
RYR,NHS England South East ,University Hospitals Sussex NHS Foundation Trust,2025-09,"31,615","20,307",64.2,60.5,"10,512",589
ACH01,NHS England South East ,Whitstable Medical Practice,2025-09,"4,919","4,919",100.0,,0,0
NTV0W,NHS England South East ,Woking Walk In Centre,2025-09,"2,621","2,551",97.3,,0,0
NQT1I,NHS England South West ,Chippenham Community Hospital,2025-09,"1,799","1,778",98.8,,0,0
RJ8,NHS England South West ,Cornwall Partnership NHS Foundation Trust,2025-09,0,0,,,78,0
RBD,NHS England South West ,Dorset County Hospital NHS Foundation Trust,2025-09,"9,105","7,274",79.9,63.5,"2,405",74
RDY,NHS England South West ,Dorset Healthcare University NHS Foundation Trust,2025-09,0,0,,,1,0
RTQ,NHS England South West ,Gloucestershire Health And Care NHS Foundation Trust,2025-09,"8,097","7,956",98.3,,33,0
RTE,NHS England South West ,Gloucestershire Hospitals NHS Foundation Trust,2025-09,"14,045","8,818",62.8,62.8,"5,601",281
RN3,NHS England South West ,Great Western Hospitals NHS Foundation Trust,2025-09,"11,449","7,819",68.3,48.9,"3,781",266
RVJ,NHS England South West ,North Bristol NHS Trust,2025-09,"9,160","5,918",64.6,64.6,"4,653",197
L83087,NHS England South West ,Okehampton Medical Centre,2025-09,93,93,100.0,,0,0
NQT5H,NHS England South West ,Paulton Memorial Hospital,2025-09,"1,175","1,166",99.2,,0,0
REF,NHS England South West ,Royal Cornwall Hospitals NHS Trust,2025-09,"18,460","15,132",82.0,57.3,"3,822",545
RH8,NHS England South West ,Royal Devon University Healthcare NHS Foundation Trust,2025-09,"18,507","12,025",65.0,54.6,"5,512",180
RD1,NHS England South West ,Royal United Hospitals Bath NHS Foundation Trust,2025-09,"8,897","5,121",57.6,57.6,"4,733",113
RNZ,NHS England South West ,Salisbury NHS Foundation Trust,2025-09,"7,006","4,708",67.2,53.9,"2,393",78
NLX,NHS England South West ,Sirona Care & Health,2025-09,"9,122","8,791",96.4,,0,0
RH5,NHS England South West ,Somerset NHS Foundation Trust,2025-09,"21,137","14,968",70.8,52.5,"4,830",100
RYF,NHS England South West ,South Western Ambulance Service NHS Foundation Trust,2025-09,"1,895","1,854",97.8,,0,0
AAH,NHS England South West ,Tetbury Hospital Trust Ltd,2025-09,593,593,100.0,,0,0
RA9,NHS England South West ,Torbay And South Devon NHS Foundation Trust,2025-09,"10,523","7,186",68.3,52.8,"3,504",78
G3P9C,NHS England South West ,Trowbridge Minor Injuries Unit,2025-09,936,929,99.3,,0,0
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,2025-09,"17,943","12,513",69.7,65.9,"6,495",213
R0D,NHS England South West ,University Hospitals Dorset NHS Foundation Trust,2025-09,"18,840","13,302",70.6,60.1,"6,709",169
RK9,NHS England South West ,University Hospitals Plymouth NHS Trust,2025-09,"15,857","10,836",68.3,41.1,"4,636",667
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,2025-10,"27,104","19,940",73.6,59.4,"7,623",40
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,2025-10,"17,237","12,462",72.3,59.3,"3,235",568
RWH,NHS England East Of England ,East And North Hertfordshire Teaching NHS Trust,2025-10,"17,697","13,096",74.0,50.8,"2,711",172
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,2025-10,"24,855","17,432",70.1,46.3,"5,110",556
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,2025-10,"1,205","1,142",94.8,,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),2025-10,"2,189","2,089",95.4,,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,2025-10,"8,715","6,173",70.8,65.8,"2,168",363
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,2025-10,"35,360","26,044",73.7,66.8,"10,630",610
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,2025-10,"14,698","10,812",73.6,58.3,"2,852",0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,2025-10,"20,612","16,486",80.0,68.1,"3,978",215
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,2025-10,"21,069","15,028",71.3,62.5,"5,259",945
Y02428,NHS England East Of England ,Putnoe Walk In Centre,2025-10,"2,619","2,619",100.0,,0,0
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,2025-10,"11,153","8,802",78.9,71.4,"2,322",240
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",2025-10,"7,806","5,213",66.8,60.4,"2,304",148
RWG,NHS England East Of England ,West Hertfordshire Teaching Hospitals NHS Trust,2025-10,"16,735","13,921",83.2,67.8,"5,130",22
RGR,NHS England East Of England ,West Suffolk NHS Foundation Trust,2025-10,"8,764","6,091",69.5,66.7,"2,303",406
G0Q0L,NHS England London,Barking Hospital Utc,2025-10,"2,914","2,905",99.7,,0,0
RF4,NHS England London,"Barking, Havering And Redbridge University Hospitals NHS Trust",2025-10,"31,072","24,172",77.8,54.6,"8,904",949
R1H,NHS England London,Barts Health NHS Trust,2025-10,"46,336","32,434",70.0,54.9,"5,765","1,241"
AD913,NHS England London,Beckenham Beacon Ucc,2025-10,"3,753","3,742",99.7,,0,0
RYX,NHS England London,Central London Community Healthcare NHS Trust,2025-10,"12,696","12,560",98.9,,0,0
RQM,NHS England London,Chelsea And Westminster Hospital NHS Foundation Trust,2025-10,"27,424","21,348",77.8,71.5,"3,243",45
RJ6,NHS England London,Croydon Health Services NHS Trust,2025-10,"18,896","14,023",74.2,64.0,"1,402",751
RVR,NHS England London,Epsom And St Helier University Hospitals NHS Trust,2025-10,"13,465","9,902",73.5,70.0,"2,386",890
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,2025-10,"17,514","13,542",77.3,64.2,"2,357",94
K6K0R,NHS England London,Harold Wood Polyclinic Utc,2025-10,"2,792","2,786",99.8,,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,2025-10,"11,547","9,196",79.6,79.6,"2,316",20
RYJ,NHS England London,Imperial College Healthcare NHS Trust,2025-10,"24,754","18,815",76.0,57.7,"4,798",0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,2025-10,"25,517","18,206",71.3,57.4,"4,044",593
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,2025-10,"15,595","11,363",72.9,45.1,"3,384",579
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,2025-10,"33,718","25,672",76.1,52.6,"4,992",652
R1K,NHS England London,London North West University Healthcare NHS Trust,2025-10,"30,537","22,157",72.6,50.9,"6,896",446
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,2025-10,"6,051","5,855",96.8,,237,0
RAT,NHS England London,North East London NHS Foundation Trust,2025-10,"1,899","1,863",98.1,,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,2025-10,"44,189","34,288",77.6,66.7,"7,458","2,109"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,2025-10,0,0,,,24,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,2025-10,"13,319","10,524",79.0,71.5,"3,544",651
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,2025-10,"12,190","9,361",76.8,48.3,"1,829",42
Y03218,NHS England London,The Pinn Unregistered Wic,2025-10,"1,094","1,094",100.0,,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,2025-10,"14,572","10,621",72.9,72.9,"1,774",219
RKE,NHS England London,Whittington Health NHS Trust,2025-10,"9,130","6,377",69.8,69.8,"1,442",296
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),2025-10,"3,565","3,565",100.0,,0,0
8J094,NHS England Midlands ,Badger Ltd,2025-10,"1,891","1,891",100.0,,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,2025-10,"5,419","4,354",80.3,80.3,861,2
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,2025-10,"12,137","8,365",68.9,46.0,"2,338",276
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,2025-10,0,0,,,90,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,2025-10,"9,074","8,755",96.5,,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,2025-10,"1,869","1,867",99.9,,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,2025-10,"2,135","2,135",100.0,,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,2025-10,"8,994","7,071",78.6,73.9,"1,135",560
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,2025-10,"18,998","14,990",78.9,63.5,"2,244",695
C82038,NHS England Midlands ,Latham House Medical Practice,2025-10,362,362,100.0,,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,2025-10,"8,124","8,003",98.5,,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,2025-10,"3,962","3,953",99.8,,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,2025-10,0,0,,,0,0
NNJ12,NHS England Midlands ,Market Harborough,2025-10,470,470,100.0,,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,2025-10,412,412,100.0,,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,2025-10,412,412,100.0,,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,2025-10,"13,526","8,829",65.3,57.5,"2,580",764
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,2025-10,"25,363","15,617",61.6,44.3,"8,973",859
NNJ14,NHS England Midlands ,Oadby,2025-10,"2,723","2,723",100.0,,0,0
NNJ15,NHS England Midlands ,Oakham,2025-10,399,399,100.0,,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,2025-10,"22,529","16,523",73.3,54.0,"2,893",380
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,2025-10,"17,399","11,726",67.4,54.7,"4,210",606
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,2025-10,"3,152","3,128",99.2,,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,2025-10,501,501,100.0,,2,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,2025-10,"6,420","6,420",100.0,,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,2025-10,"9,359","6,775",72.4,71.1,"2,752",53
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,2025-10,"3,324","3,324",100.0,,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,2025-10,"15,094","11,804",78.2,68.7,"6,437",141
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,2025-10,0,0,,,36,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,2025-10,"21,008","16,019",76.3,61.6,"3,640",581
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,2025-10,"13,619","7,386",54.2,46.3,"5,683","1,618"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,2025-10,"21,535","14,189",65.9,60.0,"6,229","1,196"
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,2025-10,"40,378","25,990",64.4,60.6,"19,035","2,030"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,2025-10,"20,969","15,342",73.2,57.9,"1,572",22
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,2025-10,"32,505","22,727",69.9,56.5,"6,073","1,234"
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,2025-10,"26,041","16,312",62.6,60.1,"10,882",844
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,2025-10,"26,522","17,454",65.8,46.1,"5,872","1,384"
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,2025-10,"14,562","10,855",74.5,63.9,"5,012",279
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,2025-10,"19,746","12,323",62.4,48.0,"3,780","1,326"
RLQ,NHS England Midlands ,Wye Valley NHS Trust,2025-10,"7,515","5,009",66.7,59.9,"1,667",272
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,2025-10,"7,088","4,676",66.0,64.7,"2,258",139
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,2025-10,"9,746","6,643",68.2,68.2,"4,031",0
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,2025-10,"13,743","11,478",83.5,76.1,"3,968",113
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,2025-10,"3,696","3,323",89.9,,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,2025-10,"1,455","1,422",97.7,,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,2025-10,"16,644","13,786",82.8,82.8,"3,255",7
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,2025-10,"24,887","19,267",77.4,58.1,"5,338",19
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,2025-10,"18,147","12,590",69.4,60.9,"5,311",142
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,2025-10,"2,680","2,605",97.2,,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,2025-10,"10,203","7,519",73.7,55.3,"1,862",21
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,2025-10,"1,707","1,700",99.6,,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,2025-10,"6,736","4,995",74.2,69.2,"1,525",6
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,2025-10,"14,317","7,995",55.8,40.9,"6,183",670
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,2025-10,"1,162","1,159",99.7,,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,2025-10,"32,159","24,145",75.1,60.3,"5,032",714
ARN03,NHS England North East And Yorkshire ,Local Care Direct,2025-10,"2,563","2,554",99.6,,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,2025-10,"24,489","17,496",71.4,61.7,"4,776",125
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,2025-10,"10,909","6,735",61.7,53.9,"3,208",318
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,2025-10,"16,208","13,291",82.0,42.0,"4,856",47
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,2025-10,"17,432","12,212",70.1,47.3,"6,230",738
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,2025-10,"24,222","21,237",87.7,72.9,"4,725",0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,2025-10,"5,590","5,210",93.2,92.4,"1,216",0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,2025-10,"19,858","14,438",72.7,46.9,"7,129",13
RTR,NHS England North East And Yorkshire ,South Tees Hospitals NHS Foundation Trust,2025-10,"18,871","14,596",77.3,48.7,"5,157",24
R0B,NHS England North East And Yorkshire ,South Tyneside And Sunderland NHS Foundation Trust,2025-10,"20,921","14,693",70.2,52.4,"6,099",2
RXG,NHS England North East And Yorkshire ,South West Yorkshire Partnership NHS Foundation Trust,2025-10,0,0,,,121,0
RTD,NHS England North East And Yorkshire ,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,2025-10,"23,658","18,206",77.0,60.8,"6,823",42
RFR,NHS England North East And Yorkshire ,The Rotherham NHS Foundation Trust,2025-10,"9,550","6,488",67.9,67.9,"2,326",2
AJN,NHS England North East And Yorkshire ,Workington Health Limited,2025-10,436,436,100.0,,0,0
RCB,NHS England North East And Yorkshire ,York And Scarborough Teaching Hospitals NHS Foundation Trust,2025-10,"19,632","13,487",68.7,49.1,"6,856",628
RBS,NHS England North West ,Alder Hey Children's NHS Foundation Trust,2025-10,"6,441","5,600",86.9,86.9,"1,170",0
