trust_code,region,trust_name,period,total_attendances,within_4hrs,pct_4hrs_total,pct_4 hrs_type1,total_emergency_dmissions,over_12hrs
RBS,NHS England North West ,Alder Hey Children's NHS Foundation Trust,2025-04,"5,674","4,870",85.8,85.8,"1,100",0
RXL,NHS England North West ,Blackpool Teaching Hospitals NHS Foundation Trust,2025-04,"20,016","15,599",77.9,52.4,"4,416",539
RMC,NHS England North West ,Bolton NHS Foundation Trust,2025-04,"11,924","7,909",66.3,52.3,"3,474",488
RY2,NHS England North West ,Bridgewater Community Healthcare NHS Foundation Trust,2025-04,"3,212","3,030",94.3,,0,0
RJR,NHS England North West ,Countess Of Chester Hospital NHS Foundation Trust,2025-04,"7,455","4,481",60.1,46.6,"2,792",709
RJN,NHS England North West ,East Cheshire NHS Trust,2025-04,"4,559","2,245",49.2,48.5,959,278
RXR,NHS England North West ,East Lancashire Hospitals NHS Trust,2025-04,"23,684","19,047",80.4,67.8,"5,492",814
RXN,NHS England North West ,Lancashire Teaching Hospitals NHS Foundation Trust,2025-04,"15,549","10,974",70.6,63.3,"4,000",435
RBQ,NHS England North West ,Liverpool Heart And Chest Hospital NHS Foundation Trust,2025-04,0,0,,,130,0
REM,NHS England North West ,Liverpool University Hospitals NHS Foundation Trust,2025-04,"25,638","17,192",67.1,49.5,"6,895",818
REP,NHS England North West ,Liverpool Women's NHS Foundation Trust,2025-04,"1,535","1,367",89.1,,127,0
R0A,NHS England North West ,Manchester University NHS Foundation Trust,2025-04,"43,674","30,799",70.5,56.7,"6,333",101
RBN,NHS England North West ,Mersey And West Lancashire Teaching Hospitals NHS Trust,2025-04,"24,332","18,158",74.6,64.9,"8,376",349
RW4,NHS England North West ,Mersey Care NHS Foundation Trust,2025-04,"13,070","12,876",98.5,,58,0
RBT,NHS England North West ,Mid Cheshire Hospitals NHS Foundation Trust,2025-04,"9,954","5,821",58.5,41.3,"3,333",492
Y02532,NHS England North West ,Miriam Minor Emergency,2025-04,"1,583","1,583",100.0,,0,0
RM3,NHS England North West ,Northern Care Alliance NHS Foundation Trust,2025-04,"33,638","22,850",67.9,58.8,"9,446","1,222"
NV693,NHS England North West ,Rossendale Miu & Ooh,2025-04,"1,108","1,108",100.0,,0,0
NQT5F,NHS England North West ,Skelmersdale Walk In Centre,2025-04,"1,730","1,724",99.7,,0,0
RWJ,NHS England North West ,Stockport NHS Foundation Trust,2025-04,"10,136","6,925",68.3,59.8,"3,287",364
RMP,NHS England North West ,Tameside And Glossop Integrated Care NHS Foundation Trust,2025-04,"11,874","7,860",66.2,55.1,"1,798",368
RBV,NHS England North West ,The Christie NHS Foundation Trust,2025-04,0,0,,,763,0
RET,NHS England North West ,The Walton Centre NHS Foundation Trust,2025-04,0,0,,,165,0
RTX,NHS England North West ,University Hospitals Of Morecambe Bay NHS Foundation Trust,2025-04,"13,602","10,121",74.4,63.0,"4,012",443
RWW,NHS England North West ,Warrington And Halton Teaching Hospitals NHS Foundation Trust,2025-04,"10,547","6,829",64.7,49.5,"1,917",663
RY7,NHS England North West ,Wirral Community Health And Care NHS Foundation Trust,2025-04,"4,134","3,869",93.6,,0,0
RBL,NHS England North West ,Wirral University Teaching Hospital NHS Foundation Trust,2025-04,"10,545","6,654",63.1,49.1,"3,825",783
RRF,NHS England North West ,"Wrightington, Wigan And Leigh NHS Foundation Trust",2025-04,"12,138","8,669",71.4,47.2,"2,689",444
